NNP4,VivianaNET,DianitaNET,MorochaNET,CentavitoNET,LeticiaNET,MuchiraNET,SorayaNET,VivianaAM,DianitaAM,MorochaAM,CentavitoAM,LeticiaAM,MuchiraAM,SorayaAM,VivianaPM, DianitaPM,MorochaPM,CentavitoPM,LeticiaPM,MuchiraPM,SorayaPM
56,13.6,12.6,14.4,12.4,13.8,18.2,9.2,7.6,8.6,10,3.4,9,6.4,12,6,4,4.4,9,4.8,2.8,6.2
57,10,0,13,13.4,11.4,17.6,12.6,6,0,8.8,4.6,6.4,6.2,10.4,4,0,4.2,8.8,5,6.4,7.2
58,8.4,0,15.8,12.6,12.4,15.2,5.2,7.2,0,10,4.4,7,0,9.8,1.2,0,5.8,8.2,5.4,5.2,5.4
59,7.6,0,15.2,13,13.8,18.6,9.4,7.6,0,11,5,7.8,6.2,11,0,0,4.2,8,6,3.2,7.6
60,11.1,0,14.8,9.7,11.8,18.3,12.6,7.7,0,9.8,3.7,7,6,12.7,3.4,0,5,6,4.8,6.6,5.6
61,13.2,0,16.4,12,13.4,17.4,17.2,9.2,0,11.8,3,8.5,12,11.2,4,0,4.6,9,4.9,5.2,6.2
62,11.8,0,17,11.4,12.8,15.8,16.8,9.8,0,11.4,3.8,7.8,11.8,11,2,0,5.6,7.6,5,5,4.8
63,15,0,16.6,11.6,10,14.8,17.4,10.4,0,12.6,4,6,13,11.2,4.6,0,4,7.6,4,4.4,3.6
64,12.2,14,17.4,11.4,9.8,17.2,8.8,6.4,9,11.2,4,6,5.8,11.4,5.8,5,6.2,7.4,3.8,3,5.8
65,13.2,13,5,12,12.2,15.6,10.4,8.6,9,0,4,8.4,6.4,9.4,4.6,4,5,8,3.8,4,6.2
66,13.6,15,9.8,12.2,13.6,13.8,10.2,9.6,10,4.4,3.8,9,6,7,4,5,5.4,8.4,4.6,4.2,6.8
67,9.1,14,17,12.5,12.6,18,5.2,7.3,8,10,3.7,7.6,2.2,12,1.8,6,7,8.8,5,3,6
68,12.6,15,21.2,11.6,12.6,16.8,10,8.6,9,15.2,4.6,8.4,7,11,4,6,6,7,4.2,3,5.8
69,10,14.5,16,10.6,11.2,17.4,9.8,5.6,8.5,11,1.6,8.2,6,12,4.4,6,5,9,3,3.8,5.4
70,12,13.4,17,12.2,0,15.6,5.8,7.6,8.4,13,3.6,0,5.8,11,4.4,5,4,8.6,0,0,4.6
71,11.2,14,16.2,16.2,10.6,17.2,10.8,8,8,10.2,6.4,8.4,7.4,12,3.2,6,6,9.8,2.2,3.4,5.2
72,10.4,14,15.8,13.6,10.8,13.2,8.8,6.8,9,10.4,3,7.4,5.2,8.2,3.6,5,5.4,10.6,3.4,3.6,5
73,11.2,14,15.4,12.1,11,18,9,7.2,9,10,3.6,7.6,5.8,12,4,5,5.4,8.5,3.4,3.2,6
74,9.9,14.8,14.6,13.1,10.8,15.8,9,5.6,9.4,9.8,4.5,6.4,6,9.8,4.3,5.4,4.8,8.6,4.4,3,6
75,13,18,14.6,12.4,17.4,20.5,7.4,8.8,9,10.6,3.4,9.6,5,12.2,4.2,9,4,9,7.8,2.4,8.3
76,10.9,14,13.3,11.8,16.4,16.8,8.6,6.8,9,11.2,2.8,7.4,5.8,11.2,4.1,5,2.1,9,9,2.8,5.6
77,14,13.4,10,14.4,13.8,13.9,9,9,8.4,10,5,9.4,5,7.7,5,5,0,9.4,4.4,4,6.2
78,12.2,14.8,15.9,12.6,14.2,12.4,6,8.2,9.6,10.6,3.2,7.2,2.2,7,4,5.2,5.3,9.4,7,3.8,5.4
79,11.8,13.4,15.4,12.6,10.2,13.2,8.2,8.6,8,10.2,3.4,6.2,5,9.2,3.2,5.4,5.2,9.2,4,3.2,4
80,15.4,14.4,17.4,13.3,15.4,13.6,12.4,10.6,8.6,11.4,4.8,12,10.4,9.4,4.8,5.8,6,8.5,3.4,2,4.2
81,11.9,13.8,14.8,13.6,10.8,17.2,9.2,7.2,8.6,9.8,5,7.8,6,11.2,4.7,5.2,5,8.6,3,3.2,6
82,12.8,13.8,11.8,12.2,9.9,16.8,8.6,7.4,8.6,7.2,3.2,6.6,5.8,9.6,5.4,5.2,4.6,9,3.3,2.8,7.2
83,10.2,14,13,12.8,3.6,20,8.8,7,8.6,8.8,2.4,3.6,6.8,13,3.2,5.4,4.2,10.4,0,2,7
84,12.8,13.4,13.4,14,8.6,18.4,9.4,8,8.2,9.2,5,3.4,6,12.6,4.8,5.2,4.2,9,5.2,3.4,5.8
85,11.8,13.2,17,11.6,13.2,19,13.4,7.8,8.2,9.8,3,6.8,13.4,12,4,5,7.2,8.6,6.4,0,7
86,12,14.4,16,13,12.6,19.6,9.8,7,8.8,11,4.2,8,6.8,14.4,5,5.6,5,8.8,4.6,3,5.2
87,14.4,13.6,11,12.8,12.4,12.8,8.4,10.2,8.6,5.4,3.4,8.8,5.4,10.2,4.2,5,5.6,9.4,3.6,3,2.6
88,11.7,14.2,9,13.9,11,17,4.8,6.8,9,6,4.3,11,4.8,12,4.9,5.2,3,9.6,0,0,5
89,11.8,13,8.2,11.8,15.1,12.8,12,7.2,8,4.8,2.6,8.9,5.8,10,4.6,5,3.4,9.2,6.2,6.2,2.8
90,12.6,14.6,12,13.2,9.4,6.4,9.2,7.8,9,8.4,3.4,5.4,6.2,0,4.8,5.6,3.6,9.8,4,3,6.4
