N,Hour,#D,#M,Viviana,Soraya,Dianita,Morocha,Centavito,Muchira,Leticia
260,PM,130,5,3.4,5,0,10.2,3.6,3.2,3.8
261,AM,131,5,9,8.2,10,3,7.4,5,7
262,PM,131,5,3.6,4.6,2.6,9.4,3.5,3.1,3.5
263,AM,132,5,7.8,7,6,3,8.6,4.2,8.6
264,PM,132,5,3.6,3.2,3.2,8,4,4.4,4.8
265,AM,133,5,8.8,7,10,3.2,9,6,7.7
266,PM,133,5,4.2,4,4,10,3.6,3,5
267,AM,134,5,7,0,7.8,4.6,7,6.4,7.6
268,PM,134,5,4.8,0,4.2,9.2,4.4,2,5.4
269,AM,135,5,6.6,8.2,11,3.4,6,5.6,10
270,PM,135,5,7.6,3.6,4,10.4,3.8,3,6
271,AM,136,5,7.2,7,9.2,4,5,5.4,8
272,PM,136,5,4,3.2,3.2,10.2,3,3,4.2
273,AM,137,5,6.96,6,9,4,7,5.4,9.2
274,PM,137,5,4.2,6,4,8.8,3,3,5
275,AM,138,5,7,7,9.5,4,7.6,4.5,8.6
276,PM,138,5,3.6,4.2,3.4,11.8,3.8,2.8,4.8
277,AM,139,5,6.6,7.6,9,3.4,2.6,3.4,10
278,PM,139,5,4.4,0,4,4.4,5,3.2,4.2
279,AM,140,5,8.6,7.4,11.6,5.2,6.4,5.8,5.6
280,PM,140,5,4.2,0,3.6,9,1.6,6,7
281,AM,141,5,6.4,7.8,8,4.4,7.2,5,8.2
282,PM,141,5,3.8,3.4,3,11.89,4.6,2.2,4
283,AM,142,5,9.8,8,8,4.8,7.2,5.2,8.6
284,PM,142,5,4,7.8,3,11.6,4,2.4,5.4
285,AM,143,5,6.2,7,9.8,2.6,8.4,4.8,7.8
286,PM,143,5,4.4,4,2.6,10.7,3,2,4
287,AM,144,5,8.2,7.4,8.2,4.1,7.8,5.2,9.2
288,PM,144,5,3.9,3.8,4.2,10.8,3.4,2.6,5.2
289,AM,145,5,7,5.4,9.6,3,7.2,4.9,6.3
290,PM,145,5,2.8,6,4.5,11.4,4,2.6,2.9
291,AM,146,5,8.8,7.4,8.4,3.2,5.8,5,6
292,PM,146,5,4,3.4,4,9.8,3.8,2.8,3
293,AM,147,5,9.2,7.8,9.2,6.6,9.6,1.8,0
294,PM,147,5,3.8,2,4,9,1.4,2,0
295,AM,148,5,7.6,4,9.8,2.6,9.8,5.6,8.2
296,PM,148,5,5,5.8,4.6,11.8,3.8,4.8,2
297,AM,149,5,6,8.4,9,4.8,9.4,4.6,7.8
298,PM,149,5,5,2.8,4,11.2,4,2.2,4.2
299,AM,150,5,8.4,4.8,7,5.2,6,5,5
300,PM,150,5,4,4.8,2.2,10.36,3.4,2,4.2
301,AM,151,5,7.6,6,10,4.8,7,5,9.2
302,PM,151,5,4.7,5,2.6,11.4,2.8,2.8,3.2
303,AM,152,5,9,5.8,8.4,4.6,6.5,4.2,11
304,PM,152,5,4,3.3,4.1,10,3.4,2.5,5.6
305,AM,153,5,9.4,6.8,9,3.8,7.4,3.4,8.2
306,PM,153,6,3.2,3.2,4.4,9,3.8,2.4,3.2
307,AM,154,6,8,7.2,8,3.8,8,4.2,7.2
308,PM,154,6,3,4.2,3,8.2,2.6,1,3
309,AM,155,6,8.8,6,9.8,4.4,5.6,5.6,7
310,PM,155,6,4.8,3.6,5,8.8,4,1.6,4.4
311,AM,156,6,7.4,8,8.2,4.2,6.4,3.2,7.6
312,PM,156,6,5.6,4,3.8,9.6,3.4,2.8,4
313,AM,157,6,7.2,8.9,7.2,3.6,8,4.2,7.2
314,PM,157,6,4.8,6,4.2,7.6,3.2,2,3
315,AM,158,6,8.7,6.8,9,4,7.4,4.6,7.3
316,PM,158,6,4.6,7.2,3.8,9.8,4.8,2.4,4
317,AM,159,6,8.2,6.8,8.8,2.6,7.4,4.2,8.2
318,PM,159,6,2.8,2.8,4.3,9.8,3.6,1.9,3.5
319,AM,160,6,8.8,5.2,8.6,3,7.69,5.2,7
320,PM,160,6,2.6,5.6,2.8,11.8,2.8,2.8,0
321,AM,161,6,7.6,6.2,10.4,3.6,8.8,4.6,10.8
322,PM,161,6,4,4.6,4.4,8,3.2,1.6,4
