N298,Andre_L298,WAndre298,Andre_E298,Gpa_L298,WGpa298,Gpa_E298
265,7.8,382,19.1,6.2,511,25.55
266,7.4,382,19.1,9.2,511,25.55
267,7.5,382,19.1,5.6,511,25.55
268,7.2,382,19.1,5,511,25.55
269,7.4,382,19.1,5.2,511,25.55
270,7.4,382,19.1,5.3,511,25.55
271,10.8,382,19.1,5.4,511,25.55
272,7.2,382,19.1,4.6,511,25.55
273,7.8,382,19.1,4.4,511,25.55
274,6.9,382,19.1,3.8,511,25.55
275,6.8,382,19.1,4.2,511,25.55
276,6,382,19.1,3.8,511,25.55
277,7.2,382,19.1,4.4,511,25.55
278,7.2,382,19.1,4,511,25.55
279,7.4,382,19.1,4,511,25.55
280,6.8,382,19.1,6.4,511,25.55
281,5.6,382,19.1,3.2,511,25.55
282,5.2,382,19.1,4,511,25.55
283,6.2,382,19.1,3.2,511,25.55
284,5.8,382,19.1,3.2,511,25.55
285,6,382,19.1,3.2,511,25.55
286,5.4,382,19.1,2.4,511,25.55
287,6,382,19.1,3.4,511,25.55
288,5,382,19.1,2.8,511,25.55
289,7.2,382,19.1,3.2,511,25.55
290,4.8,382,19.1,3.2,511,25.55
291,4.6,382,19.1,5.1,511,25.55
292,4.4,382,19.1,3,511,25.55
293,5.4,382,19.1,3.4,511,25.55
294,5.8,382,19.1,4.8,511,25.55
295,3.4,382,19.1,3.4,511,25.55
296,5.9,382,19.1,0,511,25.55
297,3.4,382,19.1,0,511,25.55
298,3.6,382,19.1,0,511,25.55
