NNP2,GinaNET,JuanitaNET,VivianaNET,DianitaNET,LuciaNET,SolNET,PachaNET,GinaAM,JuanitaAM,VivianaAM,DianitaAM,LuciaAM,SolAM,PachaAM,GinaPM,JuanitaPM,VivianaPM,DianitaPM,LuciaPM,SolPM,PachaPM
203,14,6,11.8,13.6,8.4,12.2,11.4,9.4,3.6,4.8,3.6,5.4,8,8.6,4.6,2.4,7,10,3,4.2,2.8
204,13,6.2,12,11.5,9.8,6,10.4,7.8,4,5,4.2,6.6,4,7.4,5.2,2.2,7,7.3,3.2,2,3
205,15.4,6.8,11.2,14.8,11.2,7.4,12.6,10.4,4,4.2,4.8,7,5,7.8,5,2.8,7,10,4.2,2.4,4.8
206,13.2,5,12,12.4,7.2,8.4,12,7.6,3,5,4,6,3,8,5.6,2,7,8.4,1.2,5.4,4
207,11.6,5,11.6,13,8,11.8,12.6,7,3,5,4,6,7,8.6,4.6,2,6.6,9,2,4.8,4
208,12.2,5.2,12.2,11,9.6,7.8,11.3,7,3.2,4.2,4,6.6,5,7.3,5.2,2,8,7,3,2.8,4
209,12.8,5.6,12.6,13.2,11,13,12.2,7.8,3.6,4.4,4,8,7,7.2,5,2,8.2,9.2,3,6,5
210,11,5.8,10.4,12.2,12.2,8.5,10.4,7,3.8,4.4,3.4,8,4.6,8,4,2,6,8.8,4.2,3.9,2.4
211,15.4,4.6,10,12,12,13.2,10.8,8.4,2.8,3,4.2,7,8,7.8,7,1.8,7,7.8,5,5.2,3
212,13.4,4.8,11.9,10.9,10,9.4,12.4,8.8,3.8,4.8,4,6.6,5.4,9,4.6,1,7.1,6.9,3.4,4,3.4
213,12.6,4.4,12.6,12.4,9.6,9.4,13.8,6.8,3.4,4.4,4,7,5,9,5.8,1,8.2,8.4,2.6,4.4,4.8
214,12.6,4,11.6,9.2,10,12,12,8.6,3,3.6,4.2,6.8,8,8.6,4,1,8,5,3.2,4,3.4
215,13.2,4,8,9.4,10.2,8.6,12.4,9.2,2,4,3.1,6.6,8.6,8.1,4,2,4,6.3,3.6,0,4.3
216,14.8,5.6,10.4,12.2,10.2,12.6,10.6,9.2,3.6,4.2,5,6.2,8.4,6.2,5.6,2,6.2,7.2,4,4.2,4.4
217,15.8,3.8,10.4,12.4,9.4,6,10.2,9,2,4.2,4.2,6.4,6,8,6.8,1.8,6.2,8.2,3,0,2.2
218,11.8,4,11.8,12.2,10.2,11,14.6,6.8,3,4.4,4.2,6.6,8,10,5,1,7.4,8,3.6,3,4.6
219,11,3,11.8,16,11.8,12.2,13,5,2,3.8,6,7.2,8.2,7.8,6,1,8,10,4.6,4,5.2
220,11.6,4,10.6,12.6,10.2,11.6,12,8.2,3,4.2,4.6,7,8,8,3.4,1,6.4,8,3.2,3.6,4
221,12.2,4.2,12.89,11,9.8,9.2,12.2,8.8,2,3.89,4,6.6,4.4,8,3.4,2.2,9,7,3.2,4.8,4.2
222,8,4,10.8,9.2,6.8,12,12.66,4,3,3.2,3,6.8,6.8,7.96,4,1,7.6,6.2,0,5.2,4.7
223,10.4,4,9.5,11.1,7.2,12,12.8,7,3,3,4.1,4.6,8,9.6,3.4,1,6.5,7,2.6,4,3.2
224,12.4,5,11.4,10,6.6,9,11.8,9,4,4.2,3,4.4,9,8.8,3.4,1,7.2,7,2.2,0,3
225,11,4,10.8,12.4,6.6,11.6,12.8,8,3,3,3.4,4.2,7.4,8.6,3,1,7.8,9,2.4,4.2,4.2
226,12.8,3.8,9.6,11,6.4,12.4,13.4,8,2.8,1.6,3,4.2,8.4,9.2,4.8,1,8,8,2.2,4,4.2
227,13,3,9,11.6,6.6,11.4,14.4,9,3,4,3.6,4.4,8.2,9.6,4,0,5,8,2.2,3.2,4.8
228,14,1.4,7.6,11,7,11,13,10,0,2.6,3,4.6,8,7.8,4,1.4,5,8,2.4,3,5.2
229,9.6,4,11.6,12,6.4,11,11.7,6.6,3,5.6,4,4.4,8.2,8.5,3,1,6,8,2,2.8,3.2
230,10.8,6.2,10,10.4,10.2,12,11.8,7,2.6,6,4,7,8,9,3.8,3.6,4,6.4,3.2,4,2.8
231,9,3,7,12,9.4,7.2,11.4,6,2,3,4,6.2,7.2,8.6,3,1,4,8,3.2,0,2.8
232,9.6,4.4,8.6,8,11,7.8,10.4,5.2,3,3,2,7,4.8,7,4.4,1.4,5.6,6,4,3,3.4
233,10.8,4,11,9.6,10.8,9.2,9.6,7.8,3,5,3,7,6,7,3,1,6,6.6,3.8,3.2,2.6
234,8.8,3,13.1,11,11.4,10,12,5.8,2,5,4,8.4,7,8,3,1,8.1,7,3,3,4
235,11,3,13,10.2,12,9.6,12.4,7,2,5,4,7.2,6.2,8.2,4,1,8,6.2,4.8,3.4,4.2
236,10.6,3,10.2,10,9,11,12.1,7,2,3.8,5,6,7.4,8.1,3.6,1,6.4,5,3,3.6,4
237,10.4,2.5,13,10.8,9.2,12,10.8,7.2,2,4.6,3.8,6,6,7.8,3.2,0.5,8.4,7,3.2,6,3
238,10.8,2.5,10.8,9.2,8.4,8,11,7.2,2,4.4,3.2,5.4,8,8.2,3.6,0.5,6.4,6,3,0,2.8
239,11,1.5,10,11,11,0,14,7,1,5,5,8,0,8.8,4,0.5,5,6,3,0,5.2
240,13,1.5,5.8,9,13.6,9.8,10.8,6,1,5.8,3,10,7.2,5.6,7,0.5,0,6,3.6,2.6,5.2
241,9.8,2.3,8.2,6.2,11,15.2,12.4,7,1.8,3.8,2,7.6,12,6.6,2.8,0.5,4.4,4.2,3.4,3.2,5.8
242,7.4,2.7,8.6,7.6,11.4,10,13,5,2.2,4,2,8,6,9,2.4,0.5,4.6,5.6,3.4,4,4
243,6.4,2.3,9.8,8.4,10.8,10,10.8,4,2,4.4,3,6,6.2,7.3,2.4,0.3,5.4,5.4,4.8,3.8,3.5
244,7,1,8.8,7,13.8,0,11.6,4,0.5,2.8,2.8,10,0,8,3,0.5,6,4.2,3.8,0,3.6
245,7.8,2,7.8,5,12.6,6.2,10,5,1.2,2.8,1.8,8.6,6.2,7.4,2.8,0.8,5,3.2,4,0,2.6
246,7,1,12.2,9.4,12.2,8.8,11,4,0.5,8,3,7.2,6,8,3,0.5,4.2,6.4,5,2.8,3
247,8.2,4,8.6,11.8,10.6,2.4,11.4,5.2,2,2.6,3.8,7.6,0,8.8,3,2,6,8,3,2.4,2.6
248,9,2.5,7.6,11.6,9.8,3.4,12.6,6,2,2.8,4,6.6,0,8.6,3,0.5,4.8,7.6,3.2,3.4,4
249,8.8,2.2,7.8,12.2,8,9.2,11.4,6,2,3,4.2,5.2,6,7.8,2.8,0.2,4.8,8,2.8,3.2,3.6
250,7,2.2,7.6,11.6,9,8.2,11.4,4,2,2.6,5.8,5.4,6,7.7,3,0.2,5,5.8,3.6,2.2,3.7
251,9.4,2.8,6.4,13,0,8.4,11.2,6.4,2.3,3.2,5.8,0,5.4,8,3,0.5,3.2,7.2,0,3,3.2
252,8.6,1.5,8.4,11.6,0,8.2,11,6,1,4,4,0,6,7.6,2.6,0.5,4.4,7.6,0,2.2,3.4
253,9,3,5.6,11,0,0,12.4,7,2,3.2,4,0,,8.4,2,1,2.4,7,0,,4
254,8.8,2,7.3,13.2,0,0,12.6,6,1.5,3,4,0,,8.2,2.8,0.5,4.3,9.2,0,,4.4
255,8,3.5,5.6,13,0,0,10,5,2,2.4,4.2,0,,6.8,3,1.5,3.2,8.8,0,,3.2
256,7.2,0,3,11.6,0,0,10.8,5,0,2.2,3.8,0,,7.6,2.2,0,0.8,7.8,0,,3.2
257,5.4,0,4.4,12.6,0,0,10.5,3.2,0,1.4,4.2,0,,6.5,2.2,0,3,8.4,0,,4
258,8.8,0,7.2,10,6,0,11,5.6,0,2,4,4,,8.2,3.2,0,5.2,6,2,,2.8
259,7.6,0,8,12.4,8,0,12.6,5,0,3,4.4,5,,9.2,2.6,0,5,8,3,,3.4
260,6.8,0,8,8.2,9,0,11.4,4.4,,3,3.2,7,,7.8,2.4,,5,5,2,,3.6
261,8.4,0,7,8.6,7,0,11.6,4.4,,3,4.6,7,,7.8,4,,4,4,,,3.8
262,8,0,8.8,9.8,0,0,9.8,5.2,,3.8,3.3,,,6.2,2.8,,5,6.5,,,3.6
263,9,0,7.2,9.6,0,0,11,6,,2.2,2.6,,,7.6,3,,5,7,,,3.4
264,6.6,0,0,10.2,0,0,10.2,4.4,,,3.6,,,6.2,2.2,,,6.6,,,4
265,7.8,0,0,9.4,0,0,9,4.4,,,3.2,,,5,3.4,,,6.2,,,4
266,5,0,0,10.4,0,0,14,5,,,2.4,,,7,0,,,8,,,7
267,0,0,0,10.4,0,0,10.7,,,,2.4,,,6.6,,,,8,,,4.1
268,0,0,0,11.2,0,0,11,,,,3.6,,,8.4,,,,7.6,,,2.6
269,0,0,0,11.4,0,0,12,,,,3.4,,,7.4,,,,8,,,4.6
270,0,0,0,10.8,0,0,10,,,,3,,,7,,,,7.8,,,3
271,0,0,0,11,0,0,10.1,,,,3.6,,,7.2,,,,7.4,,,2.9
272,0,0,0,11.6,0,0,10,,,,3.6,,,5.6,,,,8,,,4.4
273,0,0,0,10,0,0,10,,,,3.6,,,7.4,,,,6.4,,,2.6
274,0,0,0,9.2,0,0,12.4,,,,2.2,,,8.4,,,,7,,,4
275,0,0,0,10,0,0,10.6,,,,3.4,,,7,,,,6.6,,,3.6
276,0,0,0,9.6,0,0,11.6,,,,3.6,,,8,,,,6,,,3.6
277,0,0,0,11,0,0,10.4,,,,3.2,,,6.2,,,,7.8,,,4.2
278,0,0,0,11.4,0,0,11.1,,,,4,,,7.2,,,,7.4,,,3.9
279,0,0,0,11.6,0,0,9.8,,,,4,,,7,,,,7.6,,,2.8
280,0,0,0,11,0,0,10.8,,,,4,,,8.6,,,,7,,,2.2
281,0,0,0,9.8,0,0,9.4,,,,3,,,6.2,,,,6.8,,,3.2
282,0,0,0,9.4,0,0,10.8,,,,3.4,,,7.6,,,,6,,,3.2
283,0,0,0,10.3,0,0,7.8,,,,4.5,,,4.2,,,,5.8,,,3.6
284,0,0,0,9.4,0,0,8.2,,,,4,,,6.2,,,,5.4,,,2
285,0,0,0,8.6,0,0,8.1,,,,3.2,,,5.5,,,,5.4,,,2.6
286,0,0,0,9.8,0,0,8,,,,3.8,,,6,,,,6,,,2
287,0,0,0,10,0,0,8.4,,,,3.2,,,6.2,,,,6.8,,,2.2
288,0,0,0,8.2,0,0,0,,,,3,,,,,,,5.2,,,
