NNP2,GinaNET,JuanitaNET,VivianaNET,DianitaNET,LuciaNET,SolNET,PachaNET,GinaAM,JuanitaAM,VivianaAM,DianitaAM,LuciaAM,SolAM,PachaAM,GinaPM,JuanitaPM,VivianaPM,DianitaPM,LuciaPM,SolPM,PachaPM
36,19.65,8,17.2,23,18.8,13.8,22,11.65,5.4,6.2,9,12.4,8,13,8,2.6,11,14,6.4,5.8,9
37,18,9,17.8,28,18.4,20.6,19.6,11,6,8,10,12.4,13.6,11,7,3,9.8,18,6,7,8.6
38,22,9,14.2,24,21,18.2,20.8,13,6,5,9,13.2,7.2,11,9,3,9.2,15,7.8,11,9.8
39,20,10,18.8,21.4,19.4,17.4,18,13,7,8,7.4,13,12,12,7,3,10.8,14,6.4,5.4,6
40,23,9,19.8,21.6,15.6,20.8,18.2,16,6,10.8,8,9.8,13.4,13,7,3,9,13.6,5.8,7.4,5.2
41,19.5,10,16.2,24.4,19,17.8,10,14,6,6,8,12.4,11.6,6.4,5.5,4,10.2,16.4,6.6,6.2,3.6
42,21.5,8,16,18,19.2,21.4,18.6,14,5,6,7,10,14.2,12.2,7.5,3,10,11,9.2,7.2,6.4
43,19,9.8,8.6,19,19.8,19.8,17.8,14,6.6,5.6,8,13.4,12.2,12.4,5,3.2,3,11,6.4,7.6,5.4
44,17.8,9.3,16.4,22.6,13.8,22.6,19,12.8,6,5.4,8,11,13,12.2,5,3.3,11,14.6,2.8,9.6,6.8
45,19.8,10,16.2,19.4,17.4,17.6,15,13.8,6,6.2,6.4,10,11.4,7.4,6,4,10,13,7.4,6.2,7.6
46,18,8.8,16.8,16,13.2,19,19.4,10,5,5,6,7,10.6,12.4,8,3.8,11.8,10,6.2,8.4,7
47,16,9.2,18.3,20,15.2,17.8,18,12,6.2,4.5,6,9.2,12.2,11,4,3,13.8,14,6,5.6,7
48,17,9,13.8,19.6,14,15.6,14.6,12,6,4.8,6.6,8,11,8,5,3,9,13,6,4.6,6.6
49,15,8.8,16.8,20.6,18.8,17,18,10,6,5.8,7,12.8,11.6,11,5,2.8,11,13.6,6,5.4,7
50,19.6,8.6,20.2,18,20.6,14.8,18.2,12.6,4.4,5,7,8.6,10,11.2,7,4.2,15.2,11,12,4.8,7
51,18.4,8.4,15,16.4,19.2,16.4,16.8,11.4,6,5,8,13.6,9.2,11.4,7,2.4,10,8.4,5.6,7.2,5.4
52,20.2,9,16,22.2,16.8,15.4,19,13,6,6,9,10,9,11,7.2,3,10,13.2,6.8,6.4,8
53,18,7,21,16.4,19.2,17,18,11,5,7,6.4,14,10.8,12.4,7,2,14,10,5.2,6.2,5.6
54,20,8.2,18.4,19,18.6,17.4,20,14,6,6.4,7,13,11.4,13.2,6,2.2,12,12,5.6,6,6.8
55,18,8.8,11.4,20,18.6,16.8,8,12,6,4.2,6,11.2,11.6,0,6,2.8,7.2,14,7.4,5.2,8
