NP1,Hour,#D,#M,Sol,Lunita,Acerada
553,AM,277,10,5,6.2,3
554,PM,277,10,3,3,4.8
555,AM,278,10,6,4.2,2.6
556,PM,278,10,3,2.2,2.4
557,AM,279,10,5.6,5,2.8
558,PM,279,10,2.2,3.8,6.4
559,AM,280,10,5,4.4,2
560,PM,280,10,3.4,2.6,5.6
561,AM,281,10,1.5,2.8,3.2
562,PM,281,10,3,2.4,5.6
563,AM,282,10,3,4.8,3
564,PM,282,10,2.8,2.5,5.6
565,AM,283,10,1,4.6,3.2
566,PM,283,10,2,2.4,5.2
567,AM,284,10,2,4.6,2.6
568,PM,284,10,2,2,5.6
569,AM,285,10,1.8,4.8,2.6
570,PM,285,10,2.4,2,4
571,AM,286,10,4,4.8,2.8
572,PM,286,10,3.2,2,5
573,AM,287,10,1,4,5.6
574,PM,287,10,1.6,2,5
575,AM,288,10,2.4,4.4,2.4
576,PM,288,10,2.4,2,4.65
577,AM,289,10,1.1,4,0
578,PM,289,10,3,2.2,4
579,AM,290,10,1,3.8,2.6
580,PM,290,10,2,2,0
581,AM,291,10,1.5,4,4.6
582,PM,291,10,3,2,1
583,AM,292,10,1,3.2,2.8
584,PM,292,10,3,2.2,1.6
585,AM,293,10,2,4,4
586,PM,293,10,2,2.4,1.6
587,AM,294,10,1.5,4.1,4
588,PM,294,10,2,2,2
589,AM,295,10,0.5,4,4.3
590,PM,295,10,2.4,1,1.8
591,AM,296,10,0,0,0
592,PM,296,10,0,0,0
593,AM,297,10,0,0,0
594,PM,297,10,0,0,0
595,AM,298,10,0,0,0
596,PM,298,10,0,0,0
597,AM,299,10,0,0,0
598,PM,299,10,0,0,0
