N298,AndreaNET298,PesoAndrea298,PopoAndrea298,GuapaNET298,PesoGuapa298,PopoGuapa298
112,16.2,441.5145899,44.15145899,14.9,482.5543708,48.25543708
113,12.9,440.4929367,44.04929367,5.4,486.8169226,48.68169226
114,14.2,439.3803165,43.93803165,15,490.9341074,49.09341074
115,14.2,438.2129129,43.82129129,16.6,494.8648951,49.48648951
116,16,437.0269093,43.70269093,11.8,498.5682559,49.85682559
117,11.6,435.8584893,43.58584893,10.2,502.00316,50.200316
118,14.8,434.7438363,43.47438363,8.4,505.1285773,50.51285773
119,16,433.7191337,43.37191337,14.4,507.903478,50.7903478
120,11.5,432.8205651,43.28205651,16.6,510.2868322,51.02868322
121,10.4,432.084314,43.2084314,13.8,512.2376101,51.22376101
122,14,431.5465638,43.15465638,13.2,513.7147816,51.37147816
123,16.8,431.2434979,43.12434979,12.6,514.6773169,51.46773169
124,14.2,431.2112999,43.12112999,16.34,515.084186,51.5084186
125,15,431.4861533,43.14861533,9.6,514.894593,51.4894593
126,13,432.1042415,43.21042415,10.4,514.096465,51.4096465
127,12.9,433.1017479,43.31017479,12,512.7335407,51.27335407
128,11.8,434.5148562,43.45148562,13.6,510.8559576,51.08559576
129,11.4,436.3745566,43.63745566,8.2,508.5138534,50.85138534
130,14.2,438.6608541,43.86608541,12.4,505.7573658,50.57573658
131,14,441.324812,44.1324812,12.6,502.6366323,50.26366323
132,12.8,444.31716,44.431716,11.4,499.2017907,49.92017907
133,13.6,447.5886281,44.75886281,12.8,495.5029785,49.55029785
134,13.1,451.0899461,45.10899461,14.2,491.5903334,49.15903334
135,12.2,454.771844,45.4771844,9.6,487.5139931,48.75139931
136,16.4,458.5850515,45.85850515,13.8,483.3240951,48.33240951
137,16,462.4802985,46.24802985,12.8,479.0707772,47.90707772
138,15.2,466.408315,46.6408315,13.4,474.804177,47.4804177
139,15.6,470.3198308,47.03198308,13.4,470.574432,47.0574432
140,14,474.1655757,47.41655757,12.6,466.43168,46.643168
141,14.7,477.8962797,47.78962797,13.8,462.4260586,46.24260586
142,15.6,481.4626726,48.14626726,12.2,458.6077055,45.86077055
143,13.4,484.8154843,48.48154843,12,455.0267582,45.50267582
144,15.4,487.9054446,48.79054446,11.4,451.7333544,45.17333544
145,12.2,490.6832835,49.06832835,13.2,448.7776318,44.87776318
146,14.2,493.0997308,49.30997308,12.4,446.209728,44.6209728
147,17.2,495.1055163,49.51055163,12.8,444.0797807,44.40797807
148,14.2,496.65137,49.665137,12,442.4379274,44.24379274
149,18,497.6880218,49.76880218,10.2,441.3343059,44.13343059
150,14.6,498.1680627,49.81680627,13.6,440.8170678,44.08170678
151,17,498.0869756,49.80869756,12.2,440.8883121,44.08883121
152,14.6,497.4831354,49.74831354,11.6,441.5040853,44.15040853
153,12.2,496.3967779,49.63967779,12,442.6184475,44.26184475
154,7,494.8681393,49.48681393,9.2,444.1854592,44.41854592
155,19.8,492.9374554,49.29374554,10,446.1591807,44.61591807
156,14.4,490.6449622,49.06449622,7.3,448.4936725,44.84936725
157,14.4,488.0308958,48.80308958,11.4,451.1429948,45.11429948
158,18,485.135492,48.5135492,11.1,454.0612081,45.40612081
159,14.8,481.998987,48.1998987,8.9,457.2023726,45.72023726
160,16.6,478.6616166,47.86616166,3.6,460.5205489,46.05205489
161,14.6,475.163617,47.5163617,6.6,463.9697972,46.39697972
162,13.7,471.5452239,47.15452239,12.2,467.5041779,46.75041779
163,14.4,467.8466735,46.78466735,10.4,471.0777514,47.10777514
164,16.8,464.1082017,46.41082017,11.2,474.6445781,47.46445781
165,13.2,460.3700445,46.03700445,11.6,478.1587183,47.81587183
