NNP3,JuanitaNET,GuapaNET,SolNET,MorocaNET,Fer0daNET,MartinaNET,LeticiaNET,JuanitaAM,GuapaAM,SolAM,MorocaAM,Fer0daAM,MartinaAM,LeticiaAM,JuanitaPM,GuapaPM,SolPM,MorocaPM,Fer0daPM,MartinaPM,LeticiaPM
18,18,20.4,11.8,24,25,23,23.2,11,5.4,8.8,16.4,17,14,8.2,7,15,3,7.6,8,9,15
19,17,19,12,26.4,20.4,25.6,20,11,6,7,18.4,15.4,16.6,7,6,13,5,8,5,9,13
20,16.6,22,14.6,22,3.6,23,21.8,10.4,9,8.6,15.4,1.6,16,7,6.2,13,6,6.6,2,7,14.8
21,16.4,22,15.2,24.6,15,24.2,20.6,10.4,7,9,17.4,9,18,7.2,6,15,6.2,7.2,6,6.2,13.4
22,18,22.8,10.6,15.4,22,23,20.2,12,8.4,9.6,10,15,13,7.4,6,14.4,1,5.4,7,10,12.8
23,16.8,22.8,12.8,27.2,23,28,19.2,10.6,7.4,8.4,15.2,16,18.2,7,6.2,15.4,4.4,12,7,9.8,12.2
24,19.4,20.7,15.3,23.5,28,20.4,21.6,13,6,9.3,15.5,16,19,7.6,6.4,14.7,6,8,12,1.4,14
25,18.8,20,11.8,25,27.8,24,21,12,5,5.4,15,15.8,16,8,6.8,15,6.4,10,12,8,13
26,18.4,24.2,11.4,23,27.8,26.8,15,12,8.4,8.2,15,15.8,16.8,7,6.4,15.8,3.2,8,12,10,8
27,18.6,22.6,14.2,28,28.8,26.8,15,13,8,9.8,17,17.4,19,6,5.6,14.6,4.4,11,11.4,7.8,9
28,18.2,22.8,13.2,25.3,29.4,13.9,16.4,12.2,8.8,10,17,15.4,7.9,8,6,14,3.2,8.3,14,6,8.4
29,20,18,11.6,25.6,25.4,26,16,14,8,7.6,17.6,14.8,17.6,6,6,10,4,8,10.6,8.4,10
30,18,19.3,14.6,23.8,28,24.4,18,10,5.3,9.6,16.8,18,15,6,8,14,5,7,10,9.4,12
31,19,16.4,14.6,25.4,25,27,18.6,12,5.6,9.6,19.4,15,18,4.6,7,10.8,5,6,10,9,14
32,18.8,20.4,17,28,21.4,28.8,21.8,11,7.4,11,19,14,19.4,6.8,7.8,13,6,9,7.4,9.4,15
33,18,25.4,16,23,23.5,23.8,21,13,8,10.8,17,12.5,16.6,7,5,17.4,5.2,6,11,7.2,14
34,18.6,24,14.2,21,25.8,23,21,11.8,8,7.6,14,14.8,17,6,6.8,16,6.6,7,11,6,15
35,14,20.8,14.6,25,21.4,26.4,21.6,10.2,5.8,8.4,18,11.8,19.2,7.6,3.8,15,6.2,7,9.6,7.2,14
36,15.4,31.4,14.4,29,26.2,25.6,15.3,9.2,9,9,20.8,17,18.2,3,6.2,22.4,5.4,8.2,9.2,7.4,12.3
37,17,23.8,14.2,30.8,26.2,24.2,24.6,12,8,6,21.2,17,17.2,9.6,5,15.8,8.2,9.6,9.2,7,15
38,17.8,20.4,13.4,31,26,25.2,23,10.8,8.6,8.2,19.6,16,17.2,8,7,11.8,5.2,11.4,10,8,15
39,17.3,19.6,13.4,22.4,23,24.6,19.4,11.3,3,7.4,15.2,11.8,16,7.4,6,16.6,6,7.2,11.2,8.6,12
40,17.4,15.8,9.8,31,22.4,22.7,22.7,11.4,8,6.8,14.2,15.6,13.4,7.7,6,7.8,3,16.8,6.8,9.3,15
41,23.8,29.9,11,28.4,26.6,25.2,22.4,12.4,15.6,7.8,19.2,15,17.2,7.4,11.4,14.3,3.2,9.2,11.6,8,15
42,18.6,20.2,12.6,30.4,23.2,22.4,16,11.8,8.2,7.8,12.8,13.2,16.2,5,6.8,12,4.8,17.6,10,6.2,11
43,16.8,23.2,10.6,28.2,24.4,23.4,18.8,11.2,8.8,7,19.2,16,15.6,7,5.6,14.4,3.6,9,8.4,7.8,11.8
44,16.2,22.8,10.6,17.4,22.2,22,13.2,12.2,9.4,8.4,11.4,14.2,14.4,7,4,13.4,2.2,6,8,7.6,6.2
45,18,15,14.2,26,24.4,24.4,14.2,12,7,10,19.4,16,14.4,6,6,8,4.2,6.6,8.4,10,8.2
46,17.2,19,15,25.4,17.6,25,16.1,11.4,7,10,12,11.2,16,6.8,5.8,12,5,13.4,6.4,9,9.3
47,18,18,14.8,26.2,19.2,20.9,20,12,6,9.6,16.6,14,14.2,6.4,6,12,5.2,9.6,5.2,6.7,13.6
48,19.4,18,12,29.4,20.2,20.8,18.8,12.4,6,7.6,20.4,11,15,6.6,7,12,4.4,9,9.2,5.8,12.2
49,18.6,20,16.8,25.2,20.4,21.6,17.8,11.2,7,11,9.4,11.4,15.6,5.2,7.4,13,5.8,15.8,9,6,12.6
50,19.2,23.4,15,19,18,19.8,22.6,12,9,9,11,12,14,8.8,7.2,14.4,6,8,6,5.8,13.8
51,18.4,22.7,15.8,27.4,21.2,19.4,20.4,12,7.7,11,18.4,15,14,6.4,6.4,15,4.8,9,6.2,5.4,14
52,18,22.8,12.6,26.4,20.2,22.2,18,12,7.8,9.2,15,13,15.4,5,6,15,3.4,11.4,7.2,6.8,13
53,17.6,23.2,13.4,23,23,22.2,19.2,10,10,9.4,15,14.2,14.2,8,7.6,13.2,4,8,8.8,8,11.2
54,16.8,19,11.2,21,23,21.4,11.2,9.4,5,7.8,15,16,13.5,6,7.4,14,3.4,6,7,7.9,5.2
55,14,22.4,14.6,23.2,27,20.6,9,9,8,10.4,18,17,14.8,4,5,14.4,4.2,5.2,10,5.8,5
56,15.4,21.2,13.2,19,25.6,23,14,10.4,7,8,10,17,16.8,5,5,14.2,5.2,9,8.6,6.2,9
57,15,21.3,15,22.8,23.6,23.8,13,10,6.9,8,16.8,16.4,15.6,5,5,14.4,7,6,7.2,8.2,8
58,17.6,18.7,15.5,24,20.8,23,15.4,10.6,7.5,8.5,16,13,15.4,5,7,11.2,7,8,7.8,7.6,10.4
59,15,24,14,23,23.4,19.4,21.6,9,8,9.2,16,15,14.2,11,6,16,4.8,7,8.4,5.2,10.6
60,15.4,20,13.8,24.2,21.4,24.6,18.9,9.2,5.8,9,16.4,12.8,15,7.2,6.2,14.2,4.8,7.8,8.6,9.6,11.7
61,18.4,21.2,12.2,28,21.8,9.6,20.6,13,5.2,10,19,15.2,3.3,7.2,5.4,16,2.2,9,6.6,6.3,13.4
62,15.8,20.4,20.8,16.6,20.2,21.4,18.2,10.4,6,6.6,16.6,14,15,8,5.4,14.4,14.2,0,6.2,6.4,10.2
63,17.4,17,12.6,23,22.4,21.6,22,11,7,8.4,15,15.6,16.2,9,6.4,10,4.2,8,6.8,5.4,13
64,18,21,10.8,21.2,18.6,20.74,17,12,6,7,14,10.2,14.34,5.8,6,15,3.8,7.2,8.4,6.4,11.2
65,17.8,19,14.4,26.2,24.2,20.2,17.8,12,4,9,17,15,13.8,7.8,5.8,15,5.4,9.2,9.2,6.4,10
66,16,12.6,9.8,24.4,21,21.4,21,9,6.6,5.4,13.4,14,15.2,9,7,6,4.4,11,7,6.2,12
67,18.4,19.6,14.6,27.6,25.2,19.4,16.9,11,4,9,19.2,16,15,7.8,7.4,15.6,5.6,8.4,9.2,4.4,9.1
68,17,15,16,24.4,23.2,21.8,16.4,10,3.8,11,16.6,16,15.6,7,7,11.2,5,7.8,7.2,6.2,9.4
69,15,23.6,11.6,10.2,21,19.8,18.4,10,7.6,9.2,0,14.2,13.2,9.6,5,16,2.4,10.2,6.8,6.6,8.8
70,15.6,19.8,16.6,16.4,20.4,18.4,18,10.4,7.8,11.4,16.4,11.8,14,8,5.2,12,5.2,0,8.6,4.4,10
71,18.6,21,13.8,21.8,21.8,23.8,16,11,5,9.2,11.2,15.4,15.8,6,7.6,16,4.6,10.6,6.4,8,10
72,15,19.2,16.6,22.2,22.2,22,16.2,7,9.2,10.4,15.4,15,14.6,5,8,10,6.2,6.8,7.2,7.4,11.2
73,17.8,21.2,16.8,24.6,20,23.6,19.2,10,6,10.6,16.6,13.8,15.6,7,7.8,15.2,6.2,8,6.2,8,12.2
74,16.8,24.5,12.6,24,23,20.2,16,9,8.5,10.6,16,14,14.8,6,7.8,16,2,8,9,5.4,10
75,15.8,20.8,12.4,25.4,21.4,24.4,17.8,10,4,10.2,16.8,12.4,16.7,6.6,5.8,16.8,2.2,8.6,9,7.7,11.2
76,16.8,23,11.2,17.9,20.8,20.2,17,11,7,7.4,8.9,12.8,15.2,6,5.8,16,3.8,9,8,5,11
77,19,18.2,13.4,24,23,22.7,14.2,13,5.2,9.4,16,15,16.7,4.2,6,13,4,8,8,6,10
78,17.8,24.1,15,20.6,19,23.6,17.2,11.8,8.6,10.2,13.6,13,12,7.2,6,15.5,4.8,7,6,11.6,10
79,20,24.8,13.6,22,18,23.6,16,12,8.4,9.8,15,12,14.2,5.2,8,16.4,3.8,7,6,9.4,10.8
80,23.8,22.8,14.4,25,14.8,23.8,15.8,17,7.4,9.2,15,10,17,5,6.8,15.4,5.2,10,4.8,6.8,10.8
81,17.4,18.8,13.6,24,18,19.4,14.2,11,5.8,9.8,15,11,14,5.2,6.4,13,3.8,9,7,5.4,9
82,14.6,18,14.2,24,19.6,23.9,14.6,5.4,7,9.8,18,12.6,16.1,5.2,9.2,11,4.4,6,7,7.8,9.4
83,16.4,22,14.8,23.4,20,20.4,16,10,8,9,15.2,12,14.4,6,6.4,14,5.8,8.2,8,6,10
84,17.1,21.1,13.4,22,18,24,16,10.5,7.1,9.4,17,12,17.2,7,6.6,14,4,5,6,6.8,9
85,16.2,21,13,21.2,16,24.8,19,10.2,7,8.8,16,9,17,8,6,14,4.2,5.2,7,7.8,11
86,16.2,20.4,12,22,22,21.6,16,11.2,8.2,8.8,15,14,12.6,6,5,12.2,3.2,7,8,9,10
87,16.2,21.6,13.4,24.8,21,16.6,15.8,9,7.4,8.4,17,13,13,5.8,7.2,14.2,5,7.8,8,3.6,10
88,17.4,20,12.8,24,20.4,19.8,17.4,9.4,7,8.2,16,14,14.8,6.4,8,13,4.6,8,6.4,5,11
89,15.4,18.4,12.8,21.2,19,19.5,16,7.4,6.4,8,16.2,12,12.8,6,8,12,4.8,5,7,6.7,10
90,13.8,17.4,4.2,18,19,20,18,7.4,7.4,0,10,12,14,7,6.4,10,4.2,8,7,6,11
91,15.6,20.4,15,23,18,17.8,15,9.5,7.4,11,13,12,12,5.6,6.1,13,4,10,6,5.8,9.4
92,16,22.8,23.4,23.2,19.8,22.2,14.4,11.6,8,15.4,15.2,13.8,15.4,4.4,4.4,14.8,8,8,6,6.8,10
93,14.6,22.2,9.6,24.4,17.2,20,14.8,10.6,7.8,5.4,15,10.6,11.6,5.4,4,14.4,4.2,9.4,6.6,8.4,9.4
94,12.4,22,11.2,23.2,18.8,20,15.8,7,7,7,18,11.8,14,6.6,5.4,15,4.2,5.2,7,6,9.2
95,14.2,20.2,11,27.6,17.2,23.4,14.2,8,6.2,7,17.6,10.8,15.6,5,6.2,14,4,10,6.4,7.8,9.2
96,14.6,21,18.2,26.2,18.2,20.2,13.4,11.4,8,9,14,11.2,13.9,4.2,3.2,13,9.2,12.2,7,6.3,9.2
97,14,20.4,12.4,26.8,20.4,20.4,15.4,10,5.4,8.4,16.4,12.4,14.4,3.8,4,15,4,10.4,8,6,11.6
98,11,17.8,12.4,23.4,19.6,19.6,16.6,7,7.8,10,14.6,13.8,14.2,5.6,4,10,2.4,8.8,5.8,5.4,11
99,12.6,23.4,14.2,0,17.6,21.6,17.4,7,9.4,9.2,0,11.4,9.6,6.8,5.6,14,5,0,6.2,12,10.6
100,13,20.4,4,0,19.6,18.8,19,8,6.4,0,0,12.6,12,8.8,5,14,4,0,7,6.8,10.2
101,18,22,13.8,0,19,23.6,19.81,11,7.2,9.2,0,12.8,16.8,7.6,7,14.8,4.6,0,6.2,6.8,12.21
102,16,20,12.6,0,12,18.8,19.4,10,7,9,0,6.8,14.6,7,6,13,3.6,0,5.2,4.2,12.4
103,17,20,13,0,20.4,19.5,17.4,10,6,8,0,14,13.8,6.2,7,14,5,0,6.4,5.7,11.2
104,17,21.2,9.8,0,20.2,20.8,17,10,6,5.8,0,12.2,16,5.8,7,15.2,4,0,8,4.8,11.2
105,15.4,20.8,12.4,0,21.2,19.8,14.4,8.4,7.8,8.8,0,13.8,13.8,5.8,7,13,3.6,0,7.4,6,8.6
106,13.2,21,10.8,25,18,20.8,9.4,7,8,6.8,16,12,9.4,4.2,6.2,13,4,9,6,11.4,5.2
107,13.4,19.8,15.6,20,16,22,17.4,8,6.8,11,13,10,12,9.6,5.4,13,4.6,7,6,10,7.8
108,15.2,20.6,12.4,25.4,18.6,17.6,13.4,9.4,7.2,8.4,20,11.6,14.6,4.4,5.8,13.4,4,5.4,7,3,9
109,14.8,20.8,11.4,23.4,23,24,14.2,9.8,6.8,6.6,14,13,17.4,5,5,14,4.8,9.4,10,6.6,9.2
110,14.8,14,10.6,23,14,18.5,14.4,10,4,7.6,16,8,13.5,5,4.8,10,3,7,6,5,9.4
111,15.8,21,10,25,17.2,21,15.8,9.4,8,7,18,11.2,18,5.6,6.4,13,3,7,6,3,10.2
112,12.6,20,7,22,18,21,14.8,7.2,6,7,9,12,18,6.8,5.4,14,0,13,6,3,8
113,16.2,16.4,12.4,24,18,22,17,9.2,6,7.4,14,12,16.8,6,7,10.4,5,10,6,5.2,11
114,8.2,18.85,11.8,25,18.8,24.6,15,3,6,7.6,17,10.8,18,5,5.2,12.85,4.2,8,8,6.6,10
115,15.6,21.4,11,22,18,19.4,14.4,7.6,7.4,7.6,16,12,15,4.4,8,14,3.4,6,6,4.4,10
116,12.3,19,11.4,25,18,23.2,15.4,7.5,6,8,16,11,18.2,6,4.8,13,3.4,9,7,5,9.4
117,13.6,16,9.4,30,17.2,24.4,15.4,9,5,5.4,14,11,17.8,6,4.6,11,4,16,6.2,6.6,9.4
118,13.6,22.5,10.2,25,19,25.9,18,9,9.5,6.8,16,12,21.1,6,4.6,13,3.4,9,7,4.8,12
119,11.2,20.4,10.2,22,17.8,21.6,13.2,5.2,6.4,7.2,15,12.6,17.2,5,6,14,3,7,5.2,4.4,8.2
120,11.6,19.8,12,23.8,17,18,12.4,6.6,6.6,7.4,15.8,11.2,14.2,4.4,5,13.2,4.6,8,5.8,3.8,8
121,11.8,24.2,10,23.3,13.2,24.4,15,7.2,6.2,6.8,14.3,10,17.8,5,4.6,18,3.2,9,3.2,6.6,10
122,10,19.7,9.4,23.6,17.2,21.6,10,5,6.4,4.8,15.4,10.2,14,7,5,13.3,4.6,8.2,7,7.6,3
123,9.8,17.2,9.4,24,9.8,23.6,17,6.4,5,5.4,16,5,16,7,3.4,12.2,4,8,4.8,7.6,10
124,10.7,13.6,8.8,21,17.2,21.1,15,6.9,2.6,6.4,14.6,11.2,13.6,4,3.8,11,2.4,6.4,6,7.5,11
125,10,17.8,8.4,25.8,17.8,19.4,16,6,6,6,17,12.4,13.8,5,4,11.8,2.4,8.8,5.4,5.6,11
126,9.4,18.8,10,22.2,15.8,21.4,14.8,5.4,5.8,4.2,15.2,10.6,17,4,4,13,5.8,7,5.2,4.4,10.8
127,12,17,8,25,18.2,24,17.2,7,4.8,3.4,16.8,12,17,7.2,5,12.2,4.6,8.2,6.2,7,10
128,12,17.2,10.2,24,17.4,21.2,14.4,8.6,7,6.6,16,11.6,15.6,6,3.4,10.2,3.6,8,5.8,5.6,8.4
129,13.2,18.6,14.8,24.2,15.8,17,17,8.2,6,6.6,16,10.6,15,6,5,12.6,8.2,8.2,5.2,2,11
130,13.8,18.6,8.2,23,17.6,24.6,13.8,8.8,5.6,5.4,15.6,12.2,17.6,5,5,13,2.8,7.4,5.4,7,8.8
131,13.4,18.4,7.4,24.2,14.8,19,13.8,9,5.4,4.4,15.2,10.4,13,5.6,4.4,13,3,9,4.4,6,8.2
132,14,19.4,9.8,24,13.8,21.2,12.6,10,7,6,13,9.8,15.8,4.8,4,12.4,3.8,11,4,5.4,7.8
133,11.4,17,10.4,21.2,14,20.8,12.8,7.2,4,7,15,9.4,16,4.6,4.2,13,3.4,6.2,4.6,4.8,8.2
134,11,16,11.4,22,16,18.8,14.4,7,7,7.4,15,11,14.4,4.6,4,9,4,7,5,4.4,9.8
135,15,18.4,10.2,24,14.2,21.8,15.2,10,7,5.2,16,8.8,14.4,5.8,5,11.4,5,8,5.4,7.4,9.4
136,13.6,16,10.6,25,13.8,20.2,15.6,8,6,6.4,12,9,12.8,5.4,5.6,10,4.2,13,4.8,7.4,10.2
137,14.6,12.8,11.6,21,14,20.6,14.6,9.6,3.6,8,12,10,14.2,4.2,5,9.2,3.6,9,4,6.4,10.4
138,11.8,13.8,10.66,17.4,11.2,20.2,13.7,7.4,2.8,6.96,11.4,6,13.6,4.5,4.4,11,3.7,6,5.2,6.6,9.2
139,12.4,19,11.6,20.8,14,18,13.6,6,7,7.6,13,9,13,5.4,6.4,12,4,7.8,5,5,8.2
140,12.8,13.2,12.8,17.8,14.6,18.2,10.2,7.8,6.2,8,11.8,10,13.4,3.2,5,7,4.8,6,4.6,4.8,7
141,14,19.8,11,21.63,14.2,23.4,14.2,9.8,7,7,14,10.6,14,5.2,4.2,12.8,4,7.63,3.6,9.4,9
142,15.4,17,6.4,18.2,16.8,17.4,11.8,10.2,6,3.4,12,11,12,4.4,5.2,11,3,6.2,5.8,5.4,7.4
143,12,20,9.4,22,16.2,19.8,13.4,9,5,5.8,15,10.4,13,5,3,15,3.6,7,5.8,6.8,8.4
144,12,18.4,11.2,20.6,15,18.4,12.8,7.4,4.4,7.2,17,10,12.6,4.8,4.6,14,4,3.6,5,5.8,8
145,15,24,9,22.6,13.2,15.4,16,9,5,7.2,16,9.2,9.8,5,6,19,1.8,6.6,4,5.6,11
146,15.4,17,11,21,15,16.8,17,10.2,6,7,16.8,10,13,8,5.2,11,4,4.2,5,3.8,9
147,14.8,18.4,0,17.8,14.6,20.4,12.4,9.8,6,0,13.4,10,11.4,5,5,12.4,0,4.4,4.6,9,7.4
148,11.2,18,12.6,23.6,16,20.6,18,7.8,6,7.6,15.6,11,15.2,7,3.4,12,5,8,5,5.4,11
149,13.4,19,12,16.8,9,18.4,16,8,6,7.8,10.8,4,12.2,6,5.4,13,4.2,6,5,6.2,10
150,15.8,19,14.2,28,17.2,17.2,15,9.2,8,10,14,11,12.6,6,6.6,11,4.2,14,6.2,4.6,9
151,13.8,14.2,15.4,24,13.8,18.4,14.2,9.2,3.2,12.2,16,7.8,13.2,6,4.6,11,3.2,8,6,5.2,8.2
152,15,15.5,19.2,20,15.4,16.6,12,11,5.5,13.6,9,10,11.6,4,4,10,5.6,11,5.4,5,8
153,14.9,14.2,11.4,20,5.8,16,13.2,9.3,4,8.4,15,0,11,5.2,5.6,10.2,3,5,5.8,5,8
154,14.6,14,8.2,16.6,11,15.6,13.4,9.4,5,5,10.2,11,11,4,5.2,9,3.2,6.4,0,4.6,9.4
155,13.4,14.8,12,18.2,16.4,18,15.4,8.6,4,8.8,13.4,10.8,11,5,4.8,10.8,3.2,4.8,5.6,7,10.4
156,14.2,14,7.4,21.5,16.2,18.2,14.4,9.2,5,5.6,15.5,10.6,11,5.4,5,9,1.8,6,5.6,7.2,9
157,11,15,12.2,31.9,18,18.6,13.8,7,5,7,15.4,10.8,11.6,4.8,4,10,5.2,16.5,7.2,7,9
158,11.4,14.4,9.2,19.2,18.8,17.6,14.6,8,5.2,6,14.4,12.6,9.2,4.8,3.4,9.2,3.2,4.8,6.2,8.4,9.8
159,13,14.4,9.3,17.6,19,17.5,14.8,9,5,6.4,11.6,12,11.7,5,4,9.4,2.9,6,7,5.8,9.8
160,10.4,18.2,6.4,21.2,19.2,15.4,14.4,6.4,5.2,6.4,16.2,12.6,10.2,5,4,13,0,5,6.6,5.2,9.4
161,15.4,15,11.6,24.2,19.4,18,15,9,5,8.2,17,12.4,12,6,6.4,10,3.4,7.2,7,6,9
162,13.8,19,8.8,24,16.4,17.6,15,8.8,6,5.6,16,10.4,11.8,4.8,5,13,3.2,8,6,5.8,10.2
163,11.4,17.2,9.2,19,17.4,14.2,14,8,5.2,6,10.8,10,9,4.4,3.4,12,3.2,8.2,7.4,5.2,9.6
164,12.4,18,11,19,19,15.4,11.4,8,6,9,13,12,10.4,4.6,4.4,12,2,6,7,5,6.8
165,13,18.8,6,18.4,15.6,14.2,13,9,5.8,6,12.4,10.6,10,4.6,4,13,0,6,5,4.2,8.4
166,14.6,16.6,7.6,17.6,18.4,16.8,13.6,8.6,4.6,4.6,13.2,11,11.2,4.4,6,12,3,4.4,7.4,5.6,9.2
167,15,18,12.4,26,19,15.4,13,10,6,9.4,16,13,11.4,4.4,5,12,3,10,6,4,8.6
168,12.6,17.4,12,15,18,14.8,15.2,8,5.6,7,15,12,10,7.8,4.6,11.8,5,0,6,4.8,7.4
169,12.8,17,6.2,20,15.6,16.8,12,8.4,5.6,4,15.2,9.6,11,3,4.4,11.4,2.2,4.8,6,5.8,9
170,12,18.2,9.6,20.4,16,15.2,14.6,8,6.2,7.6,11,11,10,6,4,12,2,9.4,5,5.2,8.6
171,10.4,17.8,8.6,18,17,14.2,13.4,7.2,6.2,6.6,12,12,9,4.4,3.2,11.6,2,6,5,5.2,9
172,14.6,17,9.2,17.6,16.2,14,12,10,5.2,6.8,12,11,9.4,4,4.6,11.8,2.4,5.6,5.2,4.6,8
173,13,27.2,8.9,19.4,15,15.2,11.7,8.4,5.2,6.4,13,10,9.2,4.3,4.6,22,2.5,6.4,5,6,7.4
174,12.6,15.6,8.8,19,16,15.4,14.6,8.2,5.4,6.6,12,10,11.4,4,4.4,10.2,2.2,7,6,4,10.6
175,12.6,16.4,10.4,19,15,17,12.2,7.6,4.8,7.4,14,10,11.2,4,5,11.6,3,5,5,5.8,8.2
176,15.8,15.8,10,0,18,17.6,13,10,4.6,7,0,12,11.4,3,5.8,11.2,3,0,6,6.2,10
177,12.4,14.6,9.4,17,16.8,16,15.2,8.4,5,7,13.8,10,11,5.2,4,9.6,2.4,3.2,6.8,5,10
178,13.6,15.4,9.4,18,20,16,14,8.8,4.2,7.4,12.2,13.8,10.2,6,4.8,11.2,2,5.8,6.2,5.8,8
179,13.6,15,11,17,20.2,17.6,13.4,8.2,5,7.2,11,12.6,11.4,4.4,5.4,10,3.8,6,7.6,6.2,9
180,13.4,15.5,8.5,18,20.4,17.6,14.2,8.4,5.2,6.5,10,12,10.8,4.2,5,10.3,2,8,8.4,6.8,10
181,14.2,16,7.6,9.2,19.8,18.6,12.6,8.4,6,5.6,9.2,13.4,12.8,4.6,5.8,10,2,0,6.4,5.8,8
182,12.4,17.5,7.6,11.2,19.6,18.4,14,8.4,6,4.6,11.2,13.6,12.4,5,4,11.5,3,0,6,6,9
183,13.8,16,11,24,20,16.6,14,9.4,5,8,18,13,10.6,5.8,4.4,11,3,6,7,6,8.2
184,13.4,15.6,10,12,19.4,18,14.6,9,4.6,7.4,6,13,12.4,5.2,4.4,11,2.6,6,6.4,5.6,9.4
185,10.2,16.8,9.8,17,18.4,15.2,14,6,4.8,6.8,11.8,12.4,10,5.4,4.2,12,3,5.2,6,5.2,8.6
186,9.4,18,10.8,15.8,20,18,13.6,6.2,6,7.4,11.8,13,11.6,5.6,3.2,12,3.4,4,7,6.4,8
187,12.2,16,8.5,16.8,19,17.2,5,7.2,4,6,11.4,12,11.6,5,5,12,2.5,5.4,7,5.6,0
188,13.8,17.2,11.2,18,19,16.2,14.6,9,5.4,7,12,12,11,5.6,4.8,11.8,4.2,6,7,5.2,9
189,12,15.2,8.2,16.6,20.7,15.2,7,7,5,6,13,13.5,11,0,5,10.2,2.2,3.6,7.2,4.2,7
190,10.4,16.9,10.2,17.2,19,16,11.6,7.4,6,6.8,11.2,11,11.2,4,3,10.9,3.4,6,8,4.8,7.6
191,13.4,17.6,8.4,10.6,20,17,11.6,8,5.8,6,7.2,13,12,4,5.4,11.8,2.4,3.4,7,5,7.6
192,14,17.6,9.8,15.6,21,14.4,12.2,9,6.4,7,11.6,13,9.6,4.2,5,11.2,2.8,4,8,4.8,8
193,14,17.6,9,17,19,15.8,9.8,8,6.4,6,11,12,11.2,4.8,6,11.2,3,6,7,4.6,5
194,15,16,8.8,18.4,23,14.9,9.8,9,4,6.2,12.2,11,10.2,3.4,6,12,2.6,6.2,12,4.7,6.4
195,13,17.4,8,14,17,17.4,10.4,9.2,6.4,5.8,11,12,11.4,5,3.8,11,2.2,3,5,6,5.4
196,10.8,18.2,13.4,15.2,15,18,13.6,7.8,6.2,8,10,11,12.8,4.6,3,12,5.4,5.2,4,5.2,9
197,11,18.6,9.6,17.8,19,15.4,15,8,6.6,6.6,12,13,9.6,5,3,12,3,5.8,6,5.8,10
198,13.6,17,11.2,15.6,20,16,16.2,9.6,5.6,7.6,11.4,13,10.4,5.2,4,11.4,3.6,4.2,7,5.6,11
199,9.2,18,9.4,17.6,17.4,17.4,15.2,6.4,6,6.4,8.6,11.2,12.2,6,2.8,12,3,9,6.2,5.2,9.2
200,13.8,17,8.8,22,16.4,16,15.2,8,6,6.4,12,10.2,11,5.2,5.8,11,2.4,10,6.2,5,10
201,12,16.8,8.4,17.8,12.4,15.9,16,8,5,6.2,12,6,11,6,4,11.8,2.2,5.8,6.4,4.9,10
202,11.6,16,8.6,19,18.2,17,16.9,6.8,5,5.4,13,12,11.4,5.2,4.8,11,3.2,6,6.2,5.6,11.7
