N274,Cen_L274,WCen274,Cen_E274,Dian_L274,WDian274,Dian_E274,Leti_L274,WLeti274,Leti_E274,Mor_L274,WMor274,Mor_E274,Muc_L274,WMuc274,Muc_E274,Sor_L274,WSor274,Sor_E274,Viv_L274,WViv274,Viv_E274
77,14.4,427,21.35,13.4,475,23.75,13.8,391,19.55,10,620,31,13.9,331,16.55,9,453,22.65,14,498,24.9
78,12.6,427,21.35,14.8,475,23.75,14.2,391,19.55,15.9,620,31,12.4,331,16.55,6,453,22.65,12.2,498,24.9
79,12.6,427,21.35,13.4,475,23.75,10.2,391,19.55,15.4,620,31,13.2,331,16.55,8.2,453,22.65,11.8,498,24.9
80,13.3,427,21.35,14.4,475,23.75,15.4,391,19.55,17.4,620,31,13.6,331,16.55,12.4,453,22.65,15.4,498,24.9
81,13.6,427,21.35,13.8,475,23.75,10.8,391,19.55,14.8,620,31,17.2,331,16.55,9.2,453,22.65,11.9,498,24.9
82,12.2,427,21.35,13.8,475,23.75,9.9,391,19.55,11.8,620,31,16.8,331,16.55,8.6,453,22.65,12.8,498,24.9
83,12.8,427,21.35,14,475,23.75,3.6,391,19.55,13,620,31,20,331,16.55,8.8,453,22.65,10.2,498,24.9
84,14,427,21.35,13.4,475,23.75,8.6,391,19.55,13.4,620,31,18.4,331,16.55,9.4,453,22.65,12.8,498,24.9
85,11.6,427,21.35,13.2,475,23.75,13.2,391,19.55,17,620,31,19,331,16.55,13.4,453,22.65,11.8,498,24.9
86,13,427,21.35,14.4,475,23.75,12.6,391,19.55,16,620,31,19.6,331,16.55,9.8,453,22.65,12,498,24.9
87,12.8,427,21.35,13.6,475,23.75,12.4,391,19.55,11,620,31,12.8,331,16.55,8.4,453,22.65,14.4,498,24.9
88,13.9,427,21.35,14.2,475,23.75,11,391,19.55,9,620,31,17,331,16.55,4.8,453,22.65,11.7,498,24.9
89,11.8,427,21.35,13,475,23.75,15.1,391,19.55,8.2,620,31,12.8,331,16.55,12,453,22.65,11.8,498,24.9
90,13.2,427,21.35,14.6,475,23.75,9.4,391,19.55,12,620,31,6.4,331,16.55,9.2,453,22.65,12.6,498,24.9
91,11.6,427,21.35,14,475,23.75,8.4,391,19.55,14,620,31,13.8,331,16.55,8.8,453,22.65,13.2,498,24.9
92,14.4,427,21.35,9,475,23.75,10.4,391,19.55,13.8,620,31,14.2,331,16.55,8.4,453,22.65,12.2,498,24.9
93,15,427,21.35,14,475,23.75,12.2,391,19.55,13,620,31,12.2,331,16.55,12.2,453,22.65,10.8,498,24.9
94,13.8,427,21.35,9,475,23.75,11.4,391,19.55,10.4,620,31,10.6,331,16.55,8.2,453,22.65,10.8,498,24.9
95,14,427,21.35,14,475,23.75,11.2,391,19.55,10.8,620,31,12.4,331,16.55,8.6,453,22.65,10.4,498,24.9
96,13,427,21.35,11.2,475,23.75,11.4,391,19.55,13,620,31,21.2,331,16.55,8.2,453,22.65,8.2,498,24.9
97,13.4,427,21.35,12,475,23.75,9.6,391,19.55,17,620,31,20.6,331,16.55,7.4,453,22.65,11.4,498,24.9
98,14.8,427,21.35,11.2,475,23.75,11,391,19.55,13.6,620,31,13.4,331,16.55,7.8,453,22.65,13,498,24.9
99,14.6,427,21.35,11,475,23.75,13.2,391,19.55,14.2,620,31,15.6,331,16.55,7.8,453,22.65,10.6,498,24.9
100,13.8,427,21.35,10,475,23.75,12,391,19.55,10.8,620,31,5,331,16.55,6.4,453,22.65,10.4,498,24.9
101,13.9,427,21.35,12,475,23.75,11.2,391,19.55,12.8,620,31,16,331,16.55,9.4,453,22.65,10.81,498,24.9
102,13.4,427,21.35,11.2,475,23.75,9.8,391,19.55,12.2,620,31,13,331,16.55,9,453,22.65,11.3,498,24.9
103,12.8,427,21.35,13.2,475,23.75,13.8,391,19.55,13.7,620,31,8,331,16.55,8.1,453,22.65,11.4,498,24.9
104,12.8,427,21.35,12.6,475,23.75,7.6,391,19.55,13.2,620,31,11.8,331,16.55,8,453,22.65,11,498,24.9
105,11.6,427,21.35,16,475,23.75,11,391,19.55,13.8,620,31,6.8,331,16.55,0,453,22.65,13.6,498,24.9
106,11.6,427,21.35,11.8,475,23.75,9.8,391,19.55,11.2,620,31,15.1,331,16.55,10.6,453,22.65,9.6,498,24.9
107,12.4,427,21.35,8.2,475,23.75,10.5,391,19.55,5.2,620,31,16.6,331,16.55,6.8,453,22.65,12.4,498,24.9
108,11.9,427,21.35,15,475,23.75,13,391,19.55,12,620,31,14,331,16.55,6,453,22.65,10.6,498,24.9
109,12.5,427,21.35,11,475,23.75,15.8,391,19.55,13.2,620,31,16,331,16.55,6.6,453,22.65,12,498,24.9
110,12.6,427,21.35,13.6,475,23.75,14.1,391,19.55,10.4,620,31,13,331,16.55,5,453,22.65,7.8,498,24.9
111,13,427,21.35,14.4,475,23.75,10.2,391,19.55,8.8,620,31,14.2,331,16.55,8.6,453,22.65,9.8,498,24.9
112,10.2,427,21.35,14,475,23.75,12.8,391,19.55,0,620,31,11,331,16.55,4.4,453,22.65,13.4,498,24.9
113,13.8,427,21.35,10.6,475,23.75,16.2,391,19.55,13.2,620,31,12.2,331,16.55,7.2,453,22.65,11.8,498,24.9
114,13,427,21.35,11,475,23.75,14.6,391,19.55,10.8,620,31,15.8,331,16.55,8.2,453,22.65,11.4,498,24.9
115,12.3,427,21.35,11,475,23.75,12.2,391,19.55,10.8,620,31,14.2,331,16.55,7.2,453,22.65,13,498,24.9
116,12.3,427,21.35,13.8,475,23.75,12.2,391,19.55,13.4,620,31,12.8,331,16.55,7,453,22.65,11.9,498,24.9
117,14.4,427,21.35,14,475,23.75,13.4,391,19.55,13.6,620,31,15,331,16.55,6.3,453,22.65,9.6,498,24.9
118,10.6,427,21.35,15.5,475,23.75,12.6,391,19.55,12.2,620,31,16.4,331,16.55,5.6,453,22.65,12.4,498,24.9
119,15,427,21.35,15,475,23.75,11.8,391,19.55,7.8,620,31,13,331,16.55,9.4,453,22.65,12.2,498,24.9
120,13.43,427,21.35,12,475,23.75,13.2,391,19.55,13.4,620,31,14.4,331,16.55,9.2,453,22.65,13.4,498,24.9
121,12.4,427,21.35,14.3,475,23.75,8.6,391,19.55,14.2,620,31,16,331,16.55,7.4,453,22.65,9.4,498,24.9
122,11.6,427,21.35,13.2,475,23.75,9.8,391,19.55,9.6,620,31,12.4,331,16.55,10.8,453,22.65,11.2,498,24.9
123,12.4,427,21.35,12,475,23.75,10.2,391,19.55,13.4,620,31,11.6,331,16.55,6.2,453,22.65,10.4,498,24.9
124,12.2,427,21.35,12,475,23.75,10.8,391,19.55,12.2,620,31,11.9,331,16.55,6.7,453,22.65,9.8,498,24.9
125,14.4,427,21.35,9.4,475,23.75,8.8,391,19.55,8.8,620,31,13,331,16.55,11,453,22.65,9.6,498,24.9
126,13.6,427,21.35,4,475,23.75,13.6,391,19.55,15.4,620,31,12.6,331,16.55,6.8,453,22.65,11.2,498,24.9
127,11.8,427,21.35,12.2,475,23.75,11.2,391,19.55,13.4,620,31,13.2,331,16.55,7.4,453,22.65,9.8,498,24.9
128,13,427,21.35,10.8,475,23.75,12.2,391,19.55,12.8,620,31,12.4,331,16.55,8.6,453,22.65,12.6,498,24.9
129,12.8,427,21.35,11.8,475,23.75,10.6,391,19.55,15,620,31,13.2,331,16.55,7.6,453,22.65,12,498,24.9
130,13.2,427,21.35,11.8,475,23.75,11.6,391,19.55,12,620,31,11.2,331,16.55,7.4,453,22.65,11.4,498,24.9
131,12.4,427,21.35,12.8,475,23.75,10.9,391,19.55,12.6,620,31,10.5,331,16.55,8.1,453,22.65,12.6,498,24.9
132,11,427,21.35,10.2,475,23.75,12.6,391,19.55,9.2,620,31,13.4,331,16.55,8.6,453,22.65,11.4,498,24.9
133,13.2,427,21.35,11,475,23.75,12.6,391,19.55,14,620,31,12.7,331,16.55,9,453,22.65,13,498,24.9
134,13.8,427,21.35,0,475,23.75,11.4,391,19.55,12,620,31,13,331,16.55,8.4,453,22.65,11.8,498,24.9
135,13.8,427,21.35,11.8,475,23.75,9.8,391,19.55,15,620,31,16,331,16.55,8.6,453,22.65,14.2,498,24.9
136,14.2,427,21.35,10.2,475,23.75,8,391,19.55,12.4,620,31,12.2,331,16.55,8.4,453,22.65,11.2,498,24.9
137,12.8,427,21.35,12,475,23.75,10,391,19.55,13,620,31,14.2,331,16.55,8.4,453,22.65,11.16,498,24.9
138,15.8,427,21.35,11.2,475,23.75,11.4,391,19.55,12.9,620,31,13.4,331,16.55,7.3,453,22.65,10.6,498,24.9
139,7.8,427,21.35,7.6,475,23.75,7.6,391,19.55,13,620,31,14.2,331,16.55,6.6,453,22.65,11,498,24.9
140,14.2,427,21.35,7.4,475,23.75,8,391,19.55,15.2,620,31,12.6,331,16.55,11.8,453,22.65,12.8,498,24.9
141,16.29,427,21.35,11.2,475,23.75,11.8,391,19.55,11,620,31,12.2,331,16.55,7.2,453,22.65,10.2,498,24.9
142,16.4,427,21.35,15.8,475,23.75,11.2,391,19.55,11,620,31,14,331,16.55,7.6,453,22.65,13.8,498,24.9
143,13.3,427,21.35,11,475,23.75,11.4,391,19.55,12.4,620,31,11.8,331,16.55,6.8,453,22.65,10.6,498,24.9
144,14.9,427,21.35,11.2,475,23.75,11.2,391,19.55,12.4,620,31,14.4,331,16.55,7.8,453,22.65,12.1,498,24.9
145,14.4,427,21.35,11.4,475,23.75,11.2,391,19.55,14.1,620,31,9.2,331,16.55,7.5,453,22.65,9.8,498,24.9
146,13,427,21.35,10.8,475,23.75,9.6,391,19.55,12.4,620,31,9,331,16.55,7.8,453,22.65,12.8,498,24.9
147,15.6,427,21.35,9.8,475,23.75,11,391,19.55,13.2,620,31,0,331,16.55,3.8,453,22.65,13,498,24.9
148,14.4,427,21.35,9.8,475,23.75,13.6,391,19.55,14.4,620,31,10.2,331,16.55,10.4,453,22.65,12.6,498,24.9
149,16,427,21.35,11.2,475,23.75,13.4,391,19.55,13,620,31,12,331,16.55,6.8,453,22.65,11,498,24.9
150,15.56,427,21.35,9.6,475,23.75,9.4,391,19.55,9.2,620,31,9.2,331,16.55,7,453,22.65,12.4,498,24.9
151,16.2,427,21.35,11,475,23.75,9.8,391,19.55,12.6,620,31,12.4,331,16.55,7.8,453,22.65,12.3,498,24.9
152,14.6,427,21.35,9.1,475,23.75,9.9,391,19.55,12.5,620,31,16.6,331,16.55,6.7,453,22.65,13,498,24.9
153,12.8,427,21.35,10,475,23.75,11.2,391,19.55,13.4,620,31,11.4,331,16.55,5.8,453,22.65,12.6,498,24.9
154,12,427,21.35,11.4,475,23.75,10.6,391,19.55,11,620,31,10.2,331,16.55,5.2,453,22.65,11,498,24.9
155,13.2,427,21.35,9.6,475,23.75,9.6,391,19.55,14.8,620,31,11.4,331,16.55,7.2,453,22.65,13.6,498,24.9
156,13.8,427,21.35,12,475,23.75,9.8,391,19.55,12,620,31,11.6,331,16.55,6,453,22.65,13,498,24.9
157,11.2,427,21.35,14.9,475,23.75,11.2,391,19.55,11.4,620,31,10.2,331,16.55,6.2,453,22.65,12,498,24.9
158,13.8,427,21.35,14,475,23.75,12.2,391,19.55,12.8,620,31,11.3,331,16.55,7,453,22.65,13.3,498,24.9
159,12.4,427,21.35,9.6,475,23.75,11,391,19.55,13.1,620,31,11.7,331,16.55,6.1,453,22.65,11,498,24.9
160,14.8,427,21.35,10.8,475,23.75,10.49,391,19.55,11.4,620,31,7,331,16.55,8,453,22.65,11.4,498,24.9
161,11.6,427,21.35,10.8,475,23.75,12,391,19.55,14.8,620,31,14.8,331,16.55,6.2,453,22.65,11.6,498,24.9
162,9.6,427,21.35,6.7,475,23.75,12.4,391,19.55,11.6,620,31,13.4,331,16.55,6.2,453,22.65,11.2,498,24.9
163,11.4,427,21.35,8.2,475,23.75,13.2,391,19.55,10.8,620,31,10.2,331,16.55,5.6,453,22.65,12,498,24.9
164,12.6,427,21.35,8,475,23.75,12,391,19.55,11,620,31,10.4,331,16.55,7,453,22.65,13.6,498,24.9
165,12.2,427,21.35,7.4,475,23.75,13.2,391,19.55,9.8,620,31,9.2,331,16.55,6.2,453,22.65,12.5,498,24.9
166,8.4,427,21.35,6,475,23.75,11.2,391,19.55,11.2,620,31,11.8,331,16.55,5.9,453,22.65,14.8,498,24.9
167,11.4,427,21.35,6.2,475,23.75,15.2,391,19.55,11.2,620,31,13.2,331,16.55,5.4,453,22.65,10.8,498,24.9
168,12.6,427,21.35,6.6,475,23.75,12.3,391,19.55,13,620,31,12.4,331,16.55,7.4,453,22.65,12.2,498,24.9
169,12,427,21.35,7.6,475,23.75,13.4,391,19.55,10.2,620,31,10.8,331,16.55,5.2,453,22.65,10.2,498,24.9
170,11.8,427,21.35,6.4,475,23.75,14.2,391,19.55,13,620,31,13.4,331,16.55,6.6,453,22.65,12.4,498,24.9
171,13.1,427,21.35,7.2,475,23.75,13.4,391,19.55,10.4,620,31,10.4,331,16.55,3.8,453,22.65,12.8,498,24.9
172,15.1,427,21.35,6.6,475,23.75,12,391,19.55,11.4,620,31,11,331,16.55,5.8,453,22.65,12.2,498,24.9
173,12.2,427,21.35,7,475,23.75,11.3,391,19.55,9.9,620,31,11.5,331,16.55,6.6,453,22.65,11.4,498,24.9
174,14,427,21.35,7.6,475,23.75,11.8,391,19.55,9.6,620,31,11.2,331,16.55,5.6,453,22.65,12.2,498,24.9
175,13.6,427,21.35,6.8,475,23.75,12.6,391,19.55,11,620,31,11,331,16.55,6.4,453,22.65,11,498,24.9
176,16.2,427,21.35,7.6,475,23.75,11.6,391,19.55,11.2,620,31,12,331,16.55,6,453,22.65,11.4,498,24.9
177,15,427,21.35,5.2,475,23.75,12.8,391,19.55,13.4,620,31,9.8,331,16.55,6.2,453,22.65,12.8,498,24.9
178,15,427,21.35,6.8,475,23.75,10.4,391,19.55,10.2,620,31,12.6,331,16.55,7.6,453,22.65,11.2,498,24.9
179,13,427,21.35,6.6,475,23.75,13.4,391,19.55,8,620,31,11,331,16.55,6.8,453,22.65,11.6,498,24.9
180,13.2,427,21.35,8,475,23.75,11.2,391,19.55,11.3,620,31,12.6,331,16.55,5.6,453,22.65,9.2,498,24.9
181,12.2,427,21.35,6.4,475,23.75,11.4,391,19.55,9.8,620,31,12,331,16.55,6.8,453,22.65,12.4,498,24.9
182,15,427,21.35,5.2,475,23.75,8,391,19.55,10,620,31,12.4,331,16.55,5,453,22.65,12.6,498,24.9
183,13,427,21.35,5.6,475,23.75,13.2,391,19.55,11.6,620,31,15,331,16.55,5.4,453,22.65,8.8,498,24.9
184,14,427,21.35,5.6,475,23.75,12.8,391,19.55,10.8,620,31,9.6,331,16.55,5.8,453,22.65,11.8,498,24.9
185,12.9,427,21.35,10,475,23.75,12,391,19.55,12.2,620,31,12.6,331,16.55,5.4,453,22.65,13,498,24.9
186,10.6,427,21.35,7,475,23.75,12.8,391,19.55,12.2,620,31,15,331,16.55,5.8,453,22.65,12.8,498,24.9
187,12.8,427,21.35,6.6,475,23.75,12.1,391,19.55,10.4,620,31,13,331,16.55,5.6,453,22.65,13,498,24.9
